2100,NDR Fuchsberg,439.82500,430.42500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2101,FMT Bredstedt,438.55000,430.95000,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2102,Silberstedt,439.92500,430.52500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2103,FMT Schleswig,438.53750,430.93750,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2104,Kiel 1,438.42500,430.82500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2105,Kiel 2,439.48750,431.88750,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2106,Heiligenhafen,438.87500,431.27500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2107,FMT Heide,438.33750,430.73750,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2108,Kronprinzenkoog,439.97500,430.57500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2109,Itzehoe,439.87500,430.47500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2110,Lubeck 1,439.95000,430.55000,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2111,Lubeck 2,438.41250,430.81250,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2112,Ludersdorf,439.96250,430.56250,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2113,Ahrensburg,439.50000,431.90000,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2114,Grosshansdorf,439.52500,431.92500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2115,Lutjensee,438.52500,430.92500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2116,Hamburg-Lokstedt,439.56250,431.96250,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2117,Stade,438.80000,431.20000,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2118,Hamburg,438.92500,431.32500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2119,Bremervorde,438.46250,430.86250,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2120,Geesthacht,438.55000,430.95000,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2121,Basedow,438.83750,431.23750,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2122,Winsen,439.03750,431.43750,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2123,Buchholz,438.68375,431.03750,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2124,Luneburg,438.50000,430.90000,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2125,Bremerhaven,439.88750,430.48750,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2126,Dammer Berge,439.52500,431.92500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2127,Osnabruck 1,145.71250,145.11250,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2128,Osnabruck 2,439.95000,430.55000,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2129,Osnabruck 3,439.56250,431.96250,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2130,Rheine,438.51250,430.91250,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2131,Herford,439.01250,431.41250,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2132,Schoppingen,439.48750,431.88750,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2133,Legden,438.46250,430.86250,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2134,Stadtlohn,438.36250,430.76250,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
2135,Rees,438.42500,430.82500,D-Digital,Mid,12.5K,Off,Off,Germany,Group Call,262,N0CALL First_name,Always,Carrier,Off,1,1,1,Off,1,2,None,Default,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Analog,1,0,Off,0,1,0,0,0,0,0,1,0,0,0,1
